date,id,content,url
2023-04-30 16:06:05+00:00,1652705893236998146,"I’ve been rich forever I DO NOT NEED MONEY I NEED SOLDIERS WHO ARE RICH STRONG AND MENTALLY CAPABLE.

THAT’S WHY nobody can compete with us.

Everybody on the internet teaching anything, EVERY SINGLE ONE, is a scammer besides me.

There is nothing they know I do not know.",https://twitter.com/Cobratate/status/1652705893236998146
2023-04-30 16:06:04+00:00,1652705890854662144,"We teach you how to make money in The Real World.

We teach mindset inside of The Real World.

We teach fitness inside of The Real World.

We teach you everything you need to win life, for less than the price of lunch.

We do it to SAVE THE WORLD not because we need money.",https://twitter.com/Cobratate/status/1652705890854662144
2023-04-30 16:06:04+00:00,1652705889059520518,"We teach real things.

Our students become richer, stronger, faster.

ENDLESS WINNING.

Me and over 100 partners work every day to FORCE our students to succeed.

Our students make money.

That’s why they renew.

That cannot be copied by an amateur.",https://twitter.com/Cobratate/status/1652705889059520518
2023-04-30 16:06:03+00:00,1652705886937272322,"If I’m not too good for work, why are they?

Arrogant scamming scumbags.

Many of them tried to recreate my magic then realized it’s endless work.

It is hard to give 100s of thousands of students so much value that they renew their subscriptions every month.",https://twitter.com/Cobratate/status/1652705886937272322
2023-04-30 16:06:03+00:00,1652705885121028099,"They don’t know what it’s like to live in hard times.

They’ve never struggled.

They tried to clone and copy Hustler’s University.

They do not understand we have over 100 staff and team members working 16 hours a day every day.

I AM WORKING 16 HOURS A DAY. ME, TATE.",https://twitter.com/Cobratate/status/1652705885121028099
2023-04-30 16:06:03+00:00,1652705883522990080,"They come from easy money and they’re allergic to work.

Everyone around them is allergic to work due to childish egos.

So they sell you a product that they won’t work on, and they hire some uninterested Indian to deliver it to you.

It’s a scam.",https://twitter.com/Cobratate/status/1652705883522990080
2023-04-30 16:06:02+00:00,1652705881778184193,"But they’re too afraid to get in the ring and fight a worthy opponent.

What kinda man is this?

What does he know about mindset?

They have no gravitas to build a capable team of warriors like THE WAR ROOM so they surround themselves with parasites and losers.",https://twitter.com/Cobratate/status/1652705881778184193
2023-04-30 16:06:02+00:00,1652705880062795779,"WHILE training to become a world champion.

I DID NOT SLEEP.

I remember the 2008 crisis,

I know what hard times are like.

There are many copycats of me out there.

They try to mimic my mannerisms and language,",https://twitter.com/Cobratate/status/1652705880062795779
2023-04-30 16:06:01+00:00,1652705878120845312,"At 20-something years old, I didn’t speak much, I had no inclination to teach anything.

I was too busy learning.

I trained as hard as possible every single day to become a world champion in my sport.

I ran dozens of businesses, worked endless jobs across 10 fields.",https://twitter.com/Cobratate/status/1652705878120845312
2023-04-30 16:06:01+00:00,1652705876526915584,"Despite only making his money through the easiest time in the world to get rich by blind luck.

Do not fall for it.

Would you trust a lottery winner on business?

Making money on a shitcoin is no different.

10,000 shitcoins failed, and a few didn’t… now this guy is an expert?",https://twitter.com/Cobratate/status/1652705876526915584
2023-04-30 16:06:01+00:00,1652705874945638402,"Usually ""digital marketing agency"" or some other vague bullshit that can’t be proven.

They then try to sell YOU the secrets of how to make money.

Some 25-year-old yelling at you that money is easy,",https://twitter.com/Cobratate/status/1652705874945638402
2023-04-30 16:06:00+00:00,1652705873397968897,"So,

They buy a Lamborghini and some watches.

Open up social media accounts and brand themselves as “businessmen”

They come up with some backstory about being successful in real business despite being 20 years old.",https://twitter.com/Cobratate/status/1652705873397968897
2023-04-30 16:06:00+00:00,1652705871628042251,"There is a new generation of nerds.

Crypto Kids who got rich in 2021 by scamming in shitcoins or NFTs.

The easy money isn’t in crypto anymore,

They’re 20-something and have no real-world skills, but the rent is due and their crypto fortune is shrinking.",https://twitter.com/Cobratate/status/1652705871628042251
2023-04-30 15:33:56+00:00,1652697802034622468,"“Smiling in your brother’s face is an act of charity.” Prophet Muhammad (S.A.W)

https://t.co/sIjsn2SxEB",https://twitter.com/Cobratate/status/1652697802034622468
2023-04-30 11:56:57+00:00,1652643195849785344,"You can find proof of the Matrix in the strange repeating loops of life. 

A constant nagging Deja Vu. 

Not only are you doing the exact same things - but you feel the exact same way. 

Your consciousness is repeating. You’re trapped. 

And when something finally does change, isn’t it funny that you knew it was going to happen?

Almost as if it were… 

programmed?",https://twitter.com/Cobratate/status/1652643195849785344
2023-04-30 10:34:12+00:00,1652622371956707331,"“Establish prayer and give zakah and loan Allah a goodly loan. And whatever good you put forward for yourselves – you will find it with Allah. It is better and greater in reward.” 
 
Surah Muzzammil Ayat 20",https://twitter.com/Cobratate/status/1652622371956707331
2023-04-30 10:05:11+00:00,1652615070910672897,@TopGirlKeiko I never followed him. It’s fake. He’s a beg. https://t.co/6hUGw0Gzcm,https://twitter.com/Cobratate/status/1652615070910672897
2023-04-30 08:12:42+00:00,1652586761170681856,Festihoes are tweeting me hate inbetween taking MDMA and Gonorrhea checkups.,https://twitter.com/Cobratate/status/1652586761170681856
